sku,question,answer
_BRAND:menzerna:polishing,Araç pasta işlemi nasıl en iyi şekilde yapılır?,"1. Pasta işlemine başlamadan önce araç elle yıkanmalı ve kil çubuğu (clay bar) ile temizlenmelidir.
2. Ardından araç maskelenmeli, gerektiğinde zımparalanmalıdır.
3. Sonrasında boyanın durumuna göre uygun pasta seçilir ve doğrudan araç üzerinde küçük bir noktada test edilir.
4. Pastayı ilgili pada uygulayın ve boya üzerine eşit şekilde dağıtın.
5. Pastayı uygun basınç ve devir hızıyla, şeffaflaşana kadar dağıtmaya devam edin.
6. Kalan pasta artığını mikrofiber bezle ve gerekirse Control Cleaner ile temizleyin."
_BRAND:menzerna:products,En iyi araç pastası hangisi?,"Menzerna profesyonel pastaları, dolgu maddesi ve silikon içermeyen, yüksek kaliteli pasta hammaddelerinden üretilmiş premium ürünlerdir. Her uygulama için hangi Menzerna pastasının doğru seçim olduğu birçok faktöre bağlıdır (boya türü, boyanın durumu, kullanılacak pasta makinesi vb.)."
_BRAND:menzerna:polishing,Aracıma ne sıklıkla pasta yapabilirim?,Bir aracın ne sıklıkla pasta işlemi görebileceği her araç için farklıdır ve boya kalınlığına ile boya tipine bağlıdır. Mevcut boya kalınlığını belirlemek için boya kalınlık ölçer kullanılabilir. Ancak yalnızca en üst katman (vernik) pastalanabilir.
_BRAND:menzerna:polishing,Aracıma neden pasta yapmalıyım?,"Aracınızın düzenli bakımı ve pastalanması, uzun vadede değerini korumasını sağlar. Pasta işlemi boyadaki çizikleri giderir ve aracın parlak ve yeni gibi görünmesini sağlar."
_BRAND:menzerna:polishing,Aracıma ne zaman pasta yapmalıyım?,"Aracınızda çizikler varsa veya boyanız mat görünüyor ve parlaklığını kaybetmişse, profesyonel bir araç pastası boyayı eski görkemine kavuşturabilir."
_BRAND:menzerna:polishing,Bir araç için ne kadar pasta gerekir?,"Pasta türüne bağlı olarak, orta boy bir aracın pastalanması için yaklaşık 50 ila 100 ml gereklidir."
_BRAND:menzerna:products,Doğru pastayı seçerken nelere dikkat etmeliyim?,"Pasta işleminden önce araç boyası analiz edilmelidir. Aracın durumu nasıl ve çizikler ne kadar derin? Bu, pastanın ne yapması gerektiği konusunda ipuçları verir. Ayrıca hangi makineyi kullanacağınıza ve ne kadar zaman ayırmak istediğinize (tek aşamalı veya çok aşamalı pasta) önceden karar vermelisiniz. Bu kriterler ve pasta işlem süreçleri doğrultusunda doğru pasta seçilebilir."
_BRAND:menzerna:polishing,Araç pastası nasıl çalışır?,"Dolgu maddesi ve silikon içermeyen profesyonel bir araç pastası, yüzeyi mekanik olarak düzeltir. Pasta mineralleri boyanın ince bir katmanını alarak yüzeyi düzleştirir, bu da yansımanın artmasını ve parlak bir yüzey elde edilmesini sağlar."
_BRAND:menzerna:polishing,Evde arabaya nasıl pasta yaparım?,"Aracınıza evde pasta yapmayı planlıyorsanız, bunu dış etkenlerden korunan bir yerde yapmalısınız. En uygun yer, aracı en iyi şekilde aydınlatabileceğiniz bir garajdır. Alternatif olarak, aracı bir sundurma altında da pastalayabilirsiniz. Araç asla doğrudan güneş ışığı altında pastalanmamalıdır."
_BRAND:menzerna:polishing,Pastaları nasıl kullanırım?,Pasta en iyi şekilde bir pasta makinesi ve uygun pasta padi kullanılarak uygulanır. Elle pasta yapmak için ise bir el aplikatörü işlemi kolaylaştırabilir.
_BRAND:menzerna:products,HCC400 ile HCC400 Improved Formulation arasındaki fark nedir?,"Heavy Cut Compound 400'ün yeniden formüle edilmesiyle birlikte, geliştirilmiş formül verimli ve kullanıcı dostu çalışma sağlar. Çözücü kokusu olmadan daha hoş bir çalışma deneyimi, pastanın daha kolay temizlenmesi ve daha az toz oluşumu sayesinde artık çok daha iyi bir pasta deneyimi sunulmaktadır."
_BRAND:menzerna:products,Menzerna pastalarını nasıl kullanırım?,"Menzerna pastaları, Menzerna pasta padleri ile kullanılmak üzere özel olarak tasarlanmıştır. Detaylı önerileri ürün sayfasında veya teknik veri formlarında bulabilirsiniz."
_BRAND:menzerna:products,Hangi uygulama için hangi pastayı kullanmalıyım?,"Belirgin çizikler/aşınma izleri için, P1200-P1500 grit (ürüne göre değişir): Menzerna aşındırıcı pastaları (Heavy Cut pastaları)
Orta derinlikte çizikler, P3000 grit: Menzerna ince aşındırıcı pastaları (Medium Cut pastaları)
Hafif çizikler, hologramlar, parlaklık oluşturma: Menzerna parlaklık pastaları (Finish pastaları)
Pasta sonuçlarını korumak için: Menzerna koruyucuları (sealant)"
_BRAND:menzerna:products,Menzerna pastaları için hangi devir hızını kullanmalıyım?,"Menzerna pastaları için uygun devir hızı; ürüne, boya türüne, kullanılan makineye ve pad boyutuna bağlıdır. Öneriler ürün sayfasında veya ürünün teknik veri formlarında bulunabilir."
_BRAND:menzerna:polishing,Yeni başlayan biri olarak aracıma nasıl pasta yaparım?,"İlk kez pasta makinesiyle çalışan yeni başlayanlar için, bir orbital pasta makinesi ve Menzerna One-Step Polish 3in1 ile başlamanızı öneririz. 3in1 ile kombinasyonda Medium Cut Foam Pad doğru seçim olacaktır. İnce aşındırıcı pastayı boya üzerine eşit şekilde dağıtın ve hafif ile orta basınçla pasta yapın. Detaylı önerileri ürün sayfasında bulabilirsiniz."
_BRAND:menzerna:polishing,Aracıma showroom parlaklığı elde etmek için nasıl pasta yaparım?,"Bir araca nihai parlaklık seviyesini kazandırmak için çok aşamalı bir pasta süreci gereklidir. Menzerna, showroom finish elde etmeyi sağlayan çeşitli kombinasyonlar sunar. Örneğin aşağıdaki finişler belirtilen sırayla kullanılabilir: HCC 400, MCP 2500, SFP 3800. Pasta sonuçlarını korumak için sonrasında Power Lock gibi bir koruyucu (sealant) uygulanabilir."
_BRAND:menzerna:polishing,Siyah araca nasıl pasta yaparım?,"Siyah boya, diğer boya renkleri gibi pastalanır. Boyanın durumuna göre Heavy Cut, Medium Cut veya Finish pastalarından biri seçilir. Siyah araçlarda en küçük çizikler bile kolayca fark edildiği için, pasta sürecini bir Finish pastası ile tamamlamanızı öneririz. SF 3500 ve SFP 3800 parlaklık pastaları, koyu boyalarda bile nihai parlaklığı yaratır."
_BRAND:menzerna:products,Siyah araç boyası için en uygun pasta hangisidir?,"Tüm Menzerna araç pastaları siyah araç boyası için de uygundur. Finish pastaları söz konusu olduğunda, SF 3500 ve SFP 3800 parlaklık pastaları koyu renkleri sayesinde özellikle siyah araçlar için çok uygundur."
_BRAND:menzerna:products,Yapışkan boyalar için hangi ürünler uygundur?,"One-Step Polish 3in1, MCP 2400 ve SF 3500 araç pastaları yapışkan boyalar için idealdir."
_BRAND:menzerna:polishing,Gelcoat (jelkot) yüzeyine nasıl pasta yaparım?,"Menzerna, özellikle gelcoat yüzeyler için geliştirilmiş pastalar üretmiştir. Her uygulama için farklı tekne pastaları arasından seçim yapabilirsiniz."
_BRAND:menzerna:hand_vs_machine,Metali elle nasıl parlatırım?,"Metal, Menzerna Metal Polish ve bir mikrofiber bez ile hızlı ve kolay bir şekilde parlatılabilir. Metal yüzeyi dairesel hareketlerle parlatın."
_BRAND:menzerna:polishing,Metali nasıl parlatırım?,"Metal, elle veya pasta makinesi ile parlatılabilir. Menzerna metal pastası ile tüm metal yüzeylerinizi yeniden parlak ve yeni gibi yapabilirsiniz."
_BRAND:menzerna:scratches,Araç boyasındaki derin çizikleri nasıl çıkarırım?,"Derin çizikler en iyi şekilde, bir rotary pasta makinesi ve Heavy Cut pasta kombinasyonu ile giderilir. Aşındırıcı bir pad doğru seçimdir. Heavy Cut Foam Pad veya kuzu yünü (lambswool) pad gibi bir pasta padi kullanabilirsiniz. Pasta işleminden önce zımparalama gerekebilir."
_BRAND:menzerna:scratches,Çizilmez araç boyalarına pasta yapılabilir mi?,"Evet, çizilmez boyalar bile aşındırıcı bir pasta ile işlem görebilir."
_BRAND:menzerna:scratches,Araç boyasındaki her çiziği pasta ile çıkarabilir miyim?,"Hayır. Bir çizik vernik katmanından daha derine inmişse, tamamen giderilemez. Tırnak testi yardımcı olabilir: eğer çizik tırnağınıza belirgin şekilde takılacak kadar derinse, pasta genellikle onu gideremeyecektir. Ancak genel görünümü iyileştirmek her zaman mümkündür."
_BRAND:menzerna:scratches,Hologram nedir?,"Hologramlar, Heavy Cut veya Medium Cut pasta ile pastalama sırasında oluşabilen ince pasta izleridir. İnce aşındırıcı bir pasta / Finish pastası ile giderilebilirler."
_BRAND:menzerna:scratches,Swirl (örümcek ağı) çizikleri nedir?,"Swirl'ler, otomatik araç yıkama sistemlerindeki dönen fırçalardan kaynaklanan, dairesel şekilli, ince ile orta derinlikte araç boyası çizikleridir. Yıkama fırçalarındaki küçük kir parçacıkları veya yetersiz ön yıkama da bu çiziklere yol açabilir. Derinliğine bağlı olarak, yıkama çizikleri Medium Cut pasta veya Finish pasta ile giderilebilir."
_BRAND:menzerna:scratches,Boya kusurları (paint imperfections) nedir?,"Boya kusurları; boyama sürecinde ortaya çıkan portakal kabuğu efekti, vernik akmaları ve kir girişleri gibi hatalardır ve zımparalama ve pastalama ile giderilebilir."
_BRAND:menzerna:hand_vs_machine,Elektrikli pasta makinelerini nasıl kullanırım?,"Elektrikli pasta makineleri kullanılırken, farklı parametreler tercih edilen araç pastasına göre belirlenir. Basınç, devir hızı ve pasta padi gibi unsurlar, pasta makinesi ile pasta yaparken önemli bir rol oynar ve pasta sürecinin başarısını doğrudan etkiler. Menzerna pastaları pasta makineleri için geliştirilmiştir. Kullanım önerilerini doğrudan ürün sayfasında veya teknik veri formlarında bulabilirsiniz."
_BRAND:menzerna:hand_vs_machine,Menzerna pastaları pasta makinesi için uygun mu?,"Tüm Menzerna pastaları, pasta makinesi ile profesyonel kullanım için geliştirilmiştir."
_BRAND:menzerna:hand_vs_machine,Ne tür pasta makineleri vardır?,Rotary (döner) ve orbital pasta makineleri bulunur. Orbital pasta makineleri ise sabit (fixed) ve random (rastgele yörüngeli) modellere ayrılır.
_BRAND:menzerna:hand_vs_machine,Orbital ve rotary pasta makinesi arasındaki fark nedir?,"Rotary pasta makinesinin taban plakası (backing plate) sabit bir nokta etrafında dairesel olarak döner. Rotary makineler, boyadaki daha derin çatlakları gidermek için idealdir.
Orbital pasta makinesinin taban plakası ise orbital hareketler üretir; bu da orbital makineyi özellikle tek aşamalı pasta süreçleri için uygun hale getirir."
_BRAND:menzerna:hand_vs_machine,Normal ve sabit (fixed) orbital pasta makinesi arasındaki fark nedir?,"İki tür orbital pasta makinesi vardır: random (serbest) ve fixed (sabit). Random orbital pasta makinesinin taban plakası döndürülebilirken, fixed modelin taban plakası döndürülemez."
_BRAND:menzerna:hand_vs_machine,Menzerna pastasını elle uygulayabilir miyim?,"Evet, Menzerna araç pastaları elle pasta yapmak için de kullanılabilir. Özellikle Medium Cut 2400, One-Step Polish 3in1 ve tüm Finish pastaları ile koruyucular elle uygulama için idealdir."
_BRAND:menzerna:hand_vs_machine,Menzerna ürünlerini elle nasıl uygularım?,"Elle pasta yaparken, araç pastaları en iyi şekilde bir el aplikatörü veya mikrofiber bez ile uygulanır — her zaman dairesel hareketlerle ve hafif basınçla."
_BRAND:menzerna:hand_vs_machine,Hangi Menzerna pastası elle uygulanabilir?,"Elle pasta için özellikle Medium Cut 2400, One-Step Polish 3in1 ile tüm Finish pastalarını ve koruyucuları öneriyoruz."
_BRAND:menzerna:polishing,Pasta için en iyi aydınlatma nasıl olmalıdır?,Boyadaki çizikler ve yüzey kusurları en iyi şekilde parlak ışık altında görülür. Yüzeyde gölge oluşmamalıdır.
_BRAND:menzerna:polishing,Pasta öncesi maskelemeyi nasıl doğru yaparım ve nelere dikkat etmeliyim?,"Pasta işleminden önce plastikler, camlar, metaller vb. maskelenmelidir. Maskeleme bandı pasta işlemine uygun olmalı ve yapıştırıcısı ısıya maruz kaldığında çözülmemelidir. Pasta/koruma işleminden hemen sonra maskeleme bandını çıkarın."
_BRAND:menzerna:professional,Detailing nedir?,"Detailing, bir nesnenin yenilenmesi/iyileştirilmesi işlemini ifade eder. Birçok adım araç, tekne ve diğer nesnelerin durumunu iyileştirebilir. Detailing; yıkama, pastalama, koruma ve yüzey bakımı gibi birçok farklı adımı kapsar."
_BRAND:menzerna:professional,Araç detailing nedir?,"Araç detailing, araçları eski görkemine kavuşturma işlemidir. Araç nazikçe yıkanır, pastalanır ve korunur; çizikler ve kozmetik hasarlar onarılır. Araç detailing'in amacı; aracın durumunu iyileştirmek ve değerini artırmaktır."
_BRAND:menzerna:professional,Profesyonel araç detailing ne kadara mal olur?,"Profesyonel araç detailing, iş kapsamına ve müşteri taleplerine bağlı olarak €200 ile €1.000 arasında değişebilir. Fiyat her zaman sunulan hizmetlere göre belirlenir (tek aşamalı vs çok aşamalı pasta, cila vs seramik kaplama ...)."
_BRAND:menzerna:professional,Menzerna pasta eğitimi / kursu sunuyor mu?,"Menzerna, farklı ülkelerde hem pastaya yeni başlayanlar hem de profesyonel detailer'lar için pasta eğitim kursları sunmaktadır. Bu kurslar yetkili Menzerna eğitmenleri tarafından verilmektedir."
_BRAND:menzerna:professional,Menzerna ürünleriyle yapılan pasta eğitim kursunun ücreti ne kadar?,"Almanya'da bir günlük Menzerna eğitim kursu, Menzerna başlangıç seti ve yemek dahil kişi başı €249'dur. Fiyatlar diğer ülkelerde değişiklik gösterebilir. Fiyatlar için lütfen doğrudan sertifikalı Menzerna eğitmeninizle iletişime geçin."
_BRAND:menzerna:pads,Ne tür pasta padleri mevcut?,"Pasta padleri genel olarak sünger (foam) padler, mikrofiber padler ve kuzu yünü (lambswool) pasta padleri olarak ayrılır. Menzerna; farklı sertlik derecelerinde sünger pasta padleri ile orbital ve rotary pasta makineleri için çeşitli kuzu yünü padler sunmaktadır. Pasta padleri farklı boyutlarda mevcuttur."
_BRAND:menzerna:pads,Zımpara padi ile pasta padi arasındaki fark nedir?,"Zımpara padi özellikle zımparalama için tasarlanmıştır ve malzeme kaldırma için aşındırıcı grit içerir. Zımpara padleri farklı grit boyutlarında mevcuttur.
Pasta padi ise özellikle pasta için tasarlanmıştır ve genellikle sünger malzemeden üretilir; serten çok yumuşağa kadar farklı sertlik derecelerinde seçenekler vardır. Ayrıca kuzu yünü pasta padleri ve mikrofiber padler de bulunmaktadır."
_BRAND:menzerna:pads,Doğru pasta padini nasıl seçerim?,"Hangi pasta padinin uygun olduğu; yüzey yapısına, boya türüne, makine tipine ve seçilen pastaya bağlıdır. Menzerna, her pastası için doğru pasta padlerini sunar. Öneriler her ürünün detay sayfasında mevcuttur."
_BRAND:menzerna:pads,Doğru backing plate'i (taban plakası) nasıl seçerim?,"Backing plate'ler rotary pasta makineleri ile kullanılır. Menzerna, pasta padi boyutuna göre üç farklı ebatta backing plate sunar. Pasta padinin her zaman backing plate'ten büyük olması gerektiğini unutmamak önemlidir."
_BRAND:menzerna:pads,Menzerna padleri ile kaç araca pasta yapabilirim?,"Menzerna premium padleri ile yaklaşık 20 araca pasta yapılabilir. Ancak pasta padlerinin iyice temizlenmesi gerekir. Menzerna Premium Padler farklı boyutlarda mevcuttur: Heavy Cut Foam Pad, Medium Cut Foam Pad, Soft Cut Foam Pad, Wax Foam Pad."
_BRAND:menzerna:pads,Menzerna pastaları için hangi padleri kullanmalıyım?,"Menzerna premium padleri, pasta etiketleriyle renk uyumludur. Önerilen pasta aksesuarlarını web sitesindeki her ürünün detay sayfasında bulabilirsiniz."
_BRAND:menzerna:pads,Pasta padine ne kadar pasta uygulanmalı?,"Menzerna pastaları ve 40 cm × 40 cm'lik bir yüzey için öneri:
- 95 mm çapındaki pad: 3 ila 4 bezelye büyüklüğünde damla
- 150 mm çapındaki pad: 5 bezelye büyüklüğünde damla
- 180 mm çapındaki pad: 6 ila 7 bezelye büyüklüğünde damla"
_BRAND:menzerna:pads,Pasta padini temizlemek için hangi seçenekler var?,Sünger pasta padleri elle temiz suyla yıkanabilir. Alternatif olarak bir kova da kullanılabilir. Lütfen unutmayın: Kuzu yünü (lambswool) pasta padleri asla suyla durulanmamalıdır. Bunun yerine bir kuzu yünü fırçası veya hava tabancası ile temizlenmelidir.
_BRAND:menzerna:sealants,Power Lock'un kullanım ömrü nedir ve nasıl çıkarılır?,Power Lock'un yaklaşık altı ay kullanım ömrü vardır ve Heavy Cut Foam Pad ile birlikte bir Heavy Cut pasta (örneğin HCC400) kullanılarak çıkarılabilir.
_BRAND:menzerna:sealants,Menzerna Power Lock'u nasıl kullanırım?,"Power Lock, düşük devir hızı ve düşük basınçla Wax Foam Pad kullanılarak boya üzerine eşit şekilde dağıtılmalıdır. Yüzey şeffaflaşana kadar pastalamaya devam edin. En az 20 ila 30 dakika bekleyin, ardından kalan ürünü mikrofiber bezle temizleyin ve birkaç saat sertleşmeye bırakın."
_BRAND:menzerna:sealants,Cila (wax) ile koruyucu (sealant) arasındaki fark nedir?,"Cila (polishing wax), yüzeyi mumla mühürler ve temel olarak doğal bileşenlerden üretilir. Araç cilasının maksimum kullanım ömrü üç aydır. Sealant ise araç boyasını sentetik olarak üretilmiş polimerlerle mühürler ve maksimum altı ay kullanım ömrüne sahiptir."
_BRAND:menzerna:sealants,Uygulanmış bir seramik kaplamayı nasıl çıkarırım?,"Seramik kaplama, bir Heavy Cut pasta (örneğin HCC400) ve Heavy Cut Foam Pad ile çıkarılabilir."
_BRAND:menzerna:sealants,Seramik kaplamanın bakımı nasıl yapılır?,"Seramik kaplamanın bakımı, parlaklığı geri kazandıran ve boncuklanma (beading) etkisini daha uzun süre aktif tutan Endless Shine gibi bir detailer ile yapılabilir."
_BRAND:menzerna:sealants,Beading ve sheeting ne anlama gelir?,"Beading, yüzeyin suyu boncuk şeklinde tutabilme özelliğini ifade eder ve araç cilaları ile koruyucular (sealant) ile elde edilebilir.
Sheeting ise, bir sealant'ın yüzeye uygulanarak yüzeyi su itici hale getirmesi ve suyun araçtan anında akması ile birlikte gevşek yüzey kirlerini de beraberinde götürmesi etkisidir."
_BRAND:menzerna:washing,Aracımı neden (elle) yıkamalıyım?,"Elle yıkama sadece boyaya çok nazik olmakla kalmaz, aynı zamanda yıkama çiziklerini önler ve daha iyi / daha hassas yıkama sonuçları elde etmenizi sağlar."
_BRAND:menzerna:washing,Aracımı neden otomatik araç yıkamaya götürmemeliyim?,Otomatik araç yıkamalarda sertleşmiş fırçalar ve kirli şeritler yıkama çiziklerine (swirl) yol açabilir; araç elle doğru şekilde yıkandığında ise bu durum yaşanmaz.
_BRAND:menzerna:washing,Aracımı yıkarken ve kurularken nelere dikkat etmeliyim?,Aracınızı elle yıkarken dış etkenlerden korunan bir yer seçin (sundurma/garaj). Yıkamadan sonra araç mikrofiber bez veya hava tabancası ile kurulanmalıdır. Araç elle dikkatlice yıkandıktan sonra inatçı kirler kil çubuğu (clay bar) ile giderilebilir.
_BRAND:menzerna:washing,Mikrofiber bezlerimin bakımını nasıl doğru yaparım?,"Menzerna mikrofiber bezler, etikette yazılı sıcaklıkta çamaşır makinesinde yıkanabilir. Bakımla ilgili daha fazla bilgiyi ürünün önerilen kullanım bilgilerinde bulabilirsiniz."
_BRAND:menzerna:washing,Pasta öncesi boyayı nasıl temizlerim?,Bir araca pasta yapmadan önce elle yıkanmalıdır. Gerekirse sonrasında özel bir kil (clay) kullanılarak yüzeydeki kirlilikler giderilebilir.
_BRAND:menzerna:washing,Araca kil (clay) nasıl uygulanır?,"Araçlarda kil çubuğu (clay bar) kullanım talimatları:
1. Kili, avuç içi büyüklüğünde bir disk şekline getirin.
2. Çalışılabilir büyüklükte bir boya yüzeyine (yaklaşık 60 × 60 cm) yeterli miktarda Menzerna Endless Shine sıkın.
3. Kili yüzeyde düz hareketlerle gezdirin (dairesel hareketlerden kaçının). Hiç basınç uygulamayın. Kilin boya üzerinde kaymaya devam etmesi için yüzeyde her zaman yeterli miktarda Endless Shine bulunduğundan emin olun. Detailing kili asla kuru kullanmayın.
4. İlk bölüm temizlendiğinde kirlilikleri kilin içine katlayarak yeni bir düz disk oluşturun."
_BRAND:menzerna:washing,Kirlilikleri neden kil (clay) ile çıkarmalıyım?,"Kil çubukları, araç boyasındaki inatçı kirleri gidermek için kullanılabilir. Reçine ve böcek kalıntıları, pasta işlemi sırasında boyaya yapışmasını önlemek için araç yüzeyinden çıkarılmalıdır."
_BRAND:menzerna:washing,Araca kil (clay) uygulamanın ne faydası var?,"Araç boyasındaki yüzey pasları, reçine ve böcek kalıntıları gibi inatçı kirleri giderir. Kil uygulaması, araca çok daha temiz ve pürüzsüz bir yüzey kazandırır."
_BRAND:menzerna:washing,Aracıma ne sıklıkla kil (clay) uygulamalıyım?,Araçlara her yıkamadan sonra kil uygulanabilir.
_BRAND:menzerna:washing,Aracımı kil uygulamasına nasıl hazırlamalıyım?,"Kil ile temizlik yapmadan önce araç elle yıkanmalıdır. İki kovalı yıkama yöntemi, nazik araç yıkaması için idealdir."
_BRAND:menzerna:products,Araç pastası ne kadara mal olur?,"Ürüne ve ülkeye bağlı olarak, her 250 ml'lik Menzerna araç pastası şişesi €10 ile €20 arasında değişmektedir. Ürüne ve ülkeye bağlı olarak bir litre araç pastası €30 ile €50 arasındadır."
_BRAND:menzerna:products,Menzerna pastalarını nereden satın alabilirim?,"Menzerna premium pastaları, hem yerel bayilerde hem de çevrimiçi araç bakım mağazalarında bulunabilir. Size uygun iletişim kişisini hızlıca bayi araması aracılığıyla bulabilirsiniz."
_BRAND:menzerna:storage,Menzerna araç pastalarının raf ömrü nedir?,"Menzerna pastaları, üretim tarihinden itibaren iki yıllık raf ömrüne sahiptir. Raf ömrü ve saklama ile ilgili öneriler pasta etiketlerinde bulunur."
_BRAND:menzerna:storage,Pastaları nasıl saklamalıyım?,Pastalar 5 ile 30°C arasındaki sıcaklıklarda dik olarak saklanmalıdır. Don ve doğrudan güneş ışığından kaçının.
_BRAND:menzerna:products,Menzerna pastaları dolgu maddesi ve silikon içerir mi?,"Pastalarımız yüksek kaliteli pasta minerallerinden üretilir ve silikon veya dolgu maddesi içermez. Menzerna araç pastaları yüzeyi mekanik olarak düzeltir. Çizikler, dolgu maddesi ve silikon ile geçici olarak kapatılmak yerine, boyanın düzeltilmesiyle kalıcı olarak giderilir. Bunun tek istisnası, yüzeyi korumak için silikon gerektiren koruyucularımızdır (Power Lock, Sealing Wax, Liquid Carnauba ve Premium Protection)."
_BRAND:menzerna:products,Neden 250 ml'lik bir pasta şişesi başka bir 250 ml pasta veya finish şişesinden daha az ağırlıkta oluyor?,"Pastanın ağırlığı yoğunluğuna bağlıdır. Heavy Cut pastaları, örneğin Finish pastalarına göre daha yüksek yoğunluğa sahiptir. Bu da 250 ml'lik bir Heavy Cut Pastası'nın, kilogram cinsinden örneğin 250 ml'lik bir Finish pastasından daha ağır olduğu anlamına gelir."
_BRAND:menzerna:products,Menzerna pastaları neden şişenin tepesine kadar doldurulmuyor?,Bir ürün şişesinin ne kadar dolu olduğu ürünün yoğunluğuna bağlıdır. Daha yüksek yoğunluğa sahip pastalar aynı zamanda daha yüksek dolum seviyesine sahiptir. Tüm pastalarımız aynı şişede satıldığı için dolum seviyelerinde farklılıklar olabilir.
